ts_utc,accion,revisor,predictor,evento,fecha_evento,a,b,pick,metodo,round,confianza,origen,revisado
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Borislav Nikolic,Mark Vologdin,a,dec,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Dennis Buzukja,Bogdan Grad,b,dec,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Kyle Prepolec,Mateusz Rębecki,b,sub,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Hailey Cowan,Nina Milošević,b,ko,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Alexander Poppeck,Jovan Leka,b,ko,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Stephanie Luciano,Marina Spasić,a,dec,,,manual,True
2026-08-02T23:37:11.738712+00:00,pick_created,usuario_app,FaceOff MMA,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Magomed Ankalaev,Bogdan Guskov,a,,,,manual,True
2026-08-02T23:37:11.738712+00:00,pick_created,usuario_app,FaceOff MMA,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Steve Erceg,Ramazan Temirov,b,,,,manual,True
2026-08-02T23:37:11.738712+00:00,pick_created,usuario_app,FaceOff MMA,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Magomed Zaynukov,Damian Rzepecki,a,,,,manual,True
2026-08-02T23:37:11.738712+00:00,pick_created,usuario_app,FaceOff MMA,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Rizvan Kuniev,Tyrell Fortune,a,,,,manual,True
2026-08-02T23:37:11.738712+00:00,pick_created,usuario_app,FaceOff MMA,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,Abubakar Vagaev,Saygid Izagakhmaev,a,,,,manual,True
